UF;COD. UF;COD. MUNIC;CD_MUN;NOME DO MUNICÍPIO;POPULACAO
PR;41;13700;4113700;Londrina;588125
SC;42;05407;4205407;Florianópolis;574200
MG;31;36702;3136702;Juiz de Fora;557777
ES;32;05002;3205002;Serra;546405
RJ;33;03302;3303302;Niterói;523664
PA;15;00800;1500800;Ananindeua;515745
RS;43;05108;4305108;Caxias do Sul;503068
GO;52;01405;5201405;Aparecida de Goiânia;500760
ES;32;05200;3205200;Vila Velha;493242
AP;16;00303;1600303;Macapá;478448
SP;35;49805;3549805;São José do Rio Preto;475643
RJ;33;01009;3301009;Campos dos Goytacazes;474667
SP;35;30607;3530607;Mogi das Cruzes;471602
SP;35;25904;3525904;Jundiaí;459789
PR;41;15200;4115200;Maringá;454146
RJ;33;00456;3300456;Belford Roxo;446731
MG;31;43302;3143302;Montes Claros;436970
SP;35;38709;3538709;Piracicaba;434432
MG;31;06705;3106705;Betim;428956
PB;25;04009;2504009;Campina Grande;418140
SP;35;48500;3548500;Santos;414029
RR;14;00100;1400100;Boa Vista;408157
SP;35;10609;3510609;Carapicuíba;406221
SP;35;13801;3513801;Diadema;404738
RJ;33;05109;3305109;São João de Meriti;393773
GO;52;01108;5201108;Anápolis;393417
SP;35;23107;3523107;Itaquaquecetuba;392218
PR;41;19905;4119905;Ponta Grossa;391654
SP;35;06003;3506003;Bauru;388686
PE;26;11101;2611101;Petrolina;388145
BA;29;33307;2933307;Vitória da Conquista;387524
SP;35;29401;3529401;Mauá;383280
PE;26;04106;2604106;Caruaru;378180
ES;32;01308;3201308;Cariacica;375500
CE;23;03709;2303709;Caucaia;372413
SP;35;16200;3516200;Franca;370378
AC;12;00401;1200401;Rio Branco;364368
SC;42;02404;4202404;Blumenau;363340
MG;31;70107;3170107;Uberaba;359090
PA;15;06807;1506807;Santarém;351220
PR;41;04808;4104808;Cascavel;350644
PE;26;09600;2609600;Olinda;349920
PE;26;10707;2610707;Paulista;348253
